Questioncode,tyeofattachment(or),tyeofquestion(attachmentorlausibility),tyeofmeasure(answeror),subj1,subj2,subj3,subj4,subj5,subj6,subj7,subj8,subj9,subj10,subj11,subj12,subj13
211,2,1,2,10.61,5.48,11.16,8.51,6.45,4.9,7.77,4.37,7.29,8.83,8.79,5.99,6.31
212,2,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1
212,2,1,2,14.69,7.79,14.29,12.43,3.48,18.13,12.76,6.21,6.79,9.29,7.09,21.06,14.68
213,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
213,2,1,2,10.53,8.85,8.69,8.64,6.17,20.24,7.38,6.32,7.34,6.01,6.95,10.77,14.17
214,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
214,2,1,2,8.29,4.51,8.98,9.18,5.6,8.63,14.66,8.49,4.99,6.22,10.39,10.49,5.45
215,2,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
215,2,1,2,7.53,6.33,6.77,6.75,7.47,7.43,18.67,8.45,9.94,4.72,4.08,5.86,4.3
216,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
216,2,1,2,8.34,5.04,6.62,4.17,10.69,5.86,14.5,10.34,4.45,9.01,6.78,5.59,8.68
217,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
217,2,1,2,5.56,5.09,5.36,9.68,6.49,7.96,5.28,7.77,4.45,6.46,8.37,7.52,6.39
218,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
218,2,1,2,9.04,6.38,9.44,8.76,6,9.13,9.04,7.01,6.21,12.48,7.92,5.84,5.08
219,2,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0
219,2,1,2,17.54,5.3,8.86,7.44,5.8,8.65,14.45,5.82,12.11,6.43,8.14,14.98,6.1
21,2,1,2,8.44,4.68,7.23,8.68,4.25,5.25,7.52,4.83,5.17,3.6,5.65,9.43,5.96
22,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
220,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
220,2,1,2,6.4,37.45,7.13,7.66,6.11,9.59,6.63,4.88,4.65,4.93,10.97,7.22,6.5
221,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
221,2,1,2,7.84,5.12,8,8.08,7.76,7.84,10.69,7.48,4.81,8.46,8.04,9.08,6.98
222,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
222,2,1,2,4.89,6.36,7.22,6,5.86,6.38,9.01,4.54,4.66,6.28,5.96,5.42,5.98
223,2,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0
223,2,1,2,5.73,7.93,7.47,9.19,4.89,7.31,7.32,6.05,7.79,4.72,7.61,7.92,8.7
224,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
224,2,1,2,9.08,6.02,7.01,4.69,4.5,7.26,8.4,4.1,4.7,2.76,6.7,6.95,4.97
225,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
225,2,1,2,9.6,6.3,5.57,10.18,5.72,9.05,12.91,7.06,7.64,5.28,9.17,13.46,5.32
226,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
226,2,1,2,6.02,4.92,6.3,4.88,6.4,5.51,5.52,5.74,5.42,4.26,5.54,8.93,8.29
227,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
227,2,1,2,7.21,5.67,6.53,8.22,5.56,8.92,6.29,7.02,6.38,4.25,6.18,6.52,6.38
228,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
228,2,1,2,6.56,7.33,7.09,8.39,7.59,8.9,6.49,5.62,5.17,5.5,7.19,7.38,5.17
229,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
229,2,1,2,1.08,5.63,6.64,4.48,6.67,7.93,5.34,5.75,4.13,4.38,13.44,6.61,4.76
22,2,1,2,5.95,5.13,6.84,7.23,8.19,5.71,9.63,6.53,4.15,5.59,4.92,5.72,5.09
23,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
230,2,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0
230,2,1,2,15.04,6.97,6.12,9.03,4.75,5.41,4.71,5.95,3.96,4.13,12.11,5.65,8.66
23,2,1,2,5.61,4.76,4.21,4.09,5.27,5.56,6.46,5.78,4.87,4.35,6.19,5.13,8.14
24,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
24,2,1,2,7.37,5.38,6.96,6.47,5.04,6.06,5.32,4.38,3.78,5.91,5.94,18.71,7.09
25,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,1,2,8.6,6.04,4.77,7.67,3.55,15.14,6.94,5.03,5.58,5.21,5.5,6.32,4.54
26,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2,1,2,6.23,3.68,7.66,5.82,5.15,6.39,9.55,3.88,4.74,4.3,6.25,6.01,4.67
27,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
27,2,1,2,7.62,8.39,4.94,6.2,5.45,8.24,5.16,5.51,4.5,7.55,7.83,10.94,6.84
28,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
28,2,1,2,7.36,6.74,8.25,7.1,5.53,5.44,5.56,4.86,5.3,5.49,7.14,6.9,6.93
29,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
29,2,1,2,8.76,5.24,8.92,9.91,12.78,7.55,6.79,6.92,4.98,7.5,9,7.17,9.58
